@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {BoatPose, BowPose, Bridge, ChildsPose, CobraPose, DownwardFacingDog, MeditationPose, Plank, SeatedForwardBend, StandingMoving, StandingStill, TheExtendedSideAngle, TheTree, UpwardPlank}

@data
-0.0352783, -0.0406189, 1, SeatedForwardBend
-0.0338745, -0.0444641, 1, SeatedForwardBend
-0.0327148, -0.0447998, 1, SeatedForwardBend
-0.0325012, -0.0448608, 1, SeatedForwardBend
-0.0319519, -0.0449219, 1, SeatedForwardBend
-0.0308228, -0.0472412, 1, SeatedForwardBend
-0.0301971, -0.0482178, 1, SeatedForwardBend
-0.0301514, -0.0507813, 1, SeatedForwardBend
-0.0297546, -0.0501404, 1, SeatedForwardBend
-0.0276947, -0.0523071, 1, SeatedForwardBend
-0.0269165, -0.0534058, 0.999023, SeatedForwardBend
-0.984863, 0.112854, -0.0834961, StandingMoving
-0.998047, -0.177124, -0.0930786, StandingMoving
-0.91748, -0.374023, 0.0264587, StandingMoving
-0.906738, -0.42749, -0.0667114, StandingMoving
-0.972656, -0.261475, -0.119995, StandingMoving
-0.978027, -0.128784, -0.0807495, StandingMoving
-0.996582, 0.0556946, -0.183716, StandingMoving
-0.996582, 0.00910187, -0.211182, StandingMoving
-1.00195, 0.0386658, -0.240479, StandingMoving
-0.927734, 0.0551758, -0.214233, StandingMoving
-0.92627, 0.142456, -0.240234, StandingMoving
-1.0127, 0.0830688, -0.303467, StandingMoving
-0.951172, -0.013237, -0.328369, StandingMoving
-0.963867, -0.0213165, -0.303955, StandingMoving
-0.990234, 0.0370789, -0.293213, StandingMoving
-0.95459, 0.0688477, -0.160767, StandingMoving
-0.955078, 0.0869141, -0.123474, StandingMoving
-1.00195, 0.059845, -0.203125, StandingMoving
-0.977051, -0.00198555, -0.305908, StandingMoving
-1.00977, 0.12561, -0.257568, StandingMoving
-0.915039, 0.127808, -0.226685, StandingMoving
-0.945801, 0.00712585, -0.343262, StandingMoving
-0.897461, -0.117615, -0.457764, StandingMoving
-0.934082, -0.109497, -0.416992, StandingMoving
-0.95166, 0.0531006, 0.0626831, StandingMoving
-0.919922, -0.0240173, 0.469238, StandingMoving
-0.879395, -0.215698, 0.418701, StandingMoving
-0.906738, -0.345459, 0.239014, StandingMoving
-0.934082, -0.340088, 0.126343, StandingMoving
-0.898926, -0.463135, -0.140869, StandingMoving
-0.887207, -0.463135, -0.224365, StandingMoving
-0.867676, -0.436279, -0.203369, StandingMoving
-0.932617, -0.371826, -0.188232, StandingMoving
-0.984375, -0.0520325, -0.175781, StandingMoving
-0.949219, 0.177246, -0.2771, StandingMoving
-0.954102, 0.0991821, -0.286133, StandingMoving
-0.961914, 0.0631714, -0.297363, StandingMoving
-1.00098, 0.0242462, -0.228516, StandingMoving
-0.966309, 0.0409546, 0.124023, StandingMoving
-0.969727, -0.0306854, 0.261719, StandingMoving
-0.966797, -0.164917, -0.0450134, StandingMoving
-0.95166, -0.330566, -0.226563, StandingMoving
-0.97998, -0.203125, -0.106628, StandingMoving
-0.994141, -0.0123138, 0.0402222, StandingMoving
-0.992188, -0.0948486, 0.12323, StandingMoving
-0.953613, -0.275391, 0.216797, StandingMoving
-0.912109, -0.323486, 0.285156, StandingMoving
-0.986328, -0.182983, 0.000510693, StandingMoving
-0.966309, -0.220703, -0.208008, StandingMoving
-0.992188, -0.211792, -0.270508, StandingMoving
-0.933105, -0.136597, -0.194092, StandingMoving
-0.965332, -0.162476, -0.173584, StandingMoving
-0.962891, -0.209839, -0.235962, StandingMoving
-0.959961, -0.238037, -0.207764, StandingMoving
-0.955078, -0.235352, -0.194946, StandingMoving
-0.948242, -0.243774, -0.235107, StandingMoving
-0.929688, -0.29248, -0.242432, StandingMoving
-1, -0.0320129, -0.0663452, StandingStill
-1, -0.0423279, -0.0703735, StandingStill
-1, -0.0393066, -0.0703125, StandingStill
-1, -0.0578918, -0.0785522, StandingStill
-1, -0.0583801, -0.0725708, StandingStill
-1, -0.0576172, -0.0640869, StandingStill
-1.00098, -0.056488, -0.0462952, StandingStill
-1, -0.0534058, -0.0626221, StandingStill
-1, -0.0506592, -0.0809326, StandingStill
-1.00098, -0.0578308, -0.0671997, StandingStill
-1, -0.0548096, -0.0679932, StandingStill
-1, -0.0581055, -0.0739136, StandingStill
-1, -0.056488, -0.0690308, StandingStill
-1, -0.0543823, -0.0794067, StandingStill
-1.01074, -0.039917, -0.051178, StandingStill
-0.993652, -0.0322266, -0.0634155, StandingStill
-1.00195, -0.0289154, -0.0494995, StandingStill
-1.00293, -0.0233917, -0.0500183, StandingStill
-1, -0.032959, -0.0516357, StandingStill
-1.00391, -0.0162201, -0.046875, StandingStill
-1.00195, -0.0261383, -0.0493774, StandingStill
-1, -0.0184021, -0.0524292, StandingStill
-1.00293, -0.0152893, -0.0517578, StandingStill
-1.00293, -0.0151672, -0.0544434, StandingStill
-1.00195, -0.0157928, -0.0558472, StandingStill
-1.00098, -0.0126266, -0.0574951, StandingStill
-1.00098, -0.0136185, -0.0565796, StandingStill
-1.00195, -0.00882721, -0.055542, StandingStill
-1.00098, -0.0105057, -0.0531311, StandingStill
-1.00195, -0.00964355, -0.0547485, StandingStill
-1, -0.0103073, -0.0554199, StandingStill
-1.00195, -0.0114517, -0.0575562, StandingStill
-1, -0.0153122, -0.0581665, StandingStill
-0.999023, -0.0162201, -0.0557251, StandingStill
-1.00098, -0.0114822, -0.0534973, StandingStill
-1.00195, -0.0100861, -0.0508728, StandingStill
-1.00195, -0.0119705, -0.0540466, StandingStill
-1.00195, -0.0116425, -0.0532837, StandingStill
-1.00195, -0.0133591, -0.0566711, StandingStill
-1.00293, -0.00831604, -0.0560913, StandingStill
-1, -0.0148544, -0.0617981, StandingStill
-1.00293, -0.0121765, -0.0552979, StandingStill
-0.756348, 0.629883, 0.0996094, TheExtendedSideAngle
-0.756836, 0.633301, 0.0891724, TheExtendedSideAngle
-0.754395, 0.632813, 0.109924, TheExtendedSideAngle
-0.750488, 0.631348, 0.118408, TheExtendedSideAngle
-0.748047, 0.639648, 0.111389, TheExtendedSideAngle
-0.746582, 0.63916, 0.11438, TheExtendedSideAngle
-0.746582, 0.645996, 0.105957, TheExtendedSideAngle
-0.744629, 0.644043, 0.108215, TheExtendedSideAngle
-0.745605, 0.645508, 0.107971, TheExtendedSideAngle
-0.740723, 0.648926, 0.110352, TheExtendedSideAngle
-0.740234, 0.651855, 0.112122, TheExtendedSideAngle
-0.740723, 0.643555, 0.125854, TheExtendedSideAngle
-0.743652, 0.644043, 0.124573, TheExtendedSideAngle
-0.741211, 0.643066, 0.12854, TheExtendedSideAngle
-0.738281, 0.647461, 0.134766, TheExtendedSideAngle
-0.737305, 0.646484, 0.129272, TheExtendedSideAngle
-0.734863, 0.656738, 0.104675, TheExtendedSideAngle
-0.736816, 0.654297, 0.0892334, TheExtendedSideAngle
-0.737305, 0.657715, 0.0762939, TheExtendedSideAngle
-0.734375, 0.656738, 0.0706787, TheExtendedSideAngle
-0.734863, 0.662598, 0.0526123, TheExtendedSideAngle
-0.737305, 0.660156, 0.0474243, TheExtendedSideAngle
-0.737793, 0.662598, 0.0294189, TheExtendedSideAngle
-0.740723, 0.655273, 0.0484924, TheExtendedSideAngle
-0.739746, 0.65625, 0.0592957, TheExtendedSideAngle
-0.739746, 0.658691, 0.0703125, TheExtendedSideAngle
-0.0778198, -0.184326, -0.986328, TheTree
-0.0701904, -0.174438, -0.993652, TheTree
-0.069519, -0.14209, -0.999023, TheTree
-0.0699463, -0.13501, -0.998535, TheTree
-0.0740356, -0.134644, -0.998535, TheTree
-0.0742798, -0.127563, -0.998535, TheTree
-0.0759888, -0.129639, -0.999023, TheTree
-0.0750732, -0.126953, -0.999023, TheTree
-0.0772095, -0.134644, -0.998047, TheTree
-0.079834, -0.130981, -1, TheTree
-0.0795898, -0.137939, -0.998535, TheTree
-0.0818481, -0.139282, -0.998535, TheTree
-0.0813599, -0.140991, -0.997559, TheTree
-0.0789795, -0.154907, -0.995117, TheTree
-0.0849609, -0.138916, -0.996094, TheTree
-0.0849609, -0.127319, -0.998535, TheTree
-0.0866699, -0.122314, -0.999023, TheTree
-0.0869751, -0.127319, -0.999023, TheTree
-0.085083, -0.131958, -0.997559, TheTree
-0.0869141, -0.135986, -0.996582, TheTree
-0.0852661, -0.138428, -0.995117, TheTree
-0.0841064, -0.134033, -0.999023, TheTree
-0.0862427, -0.12915, -1, TheTree
-0.0887451, -0.124084, -0.998535, TheTree
-0.0899658, -0.127563, -0.998535, TheTree
-0.366455, -0.0533447, 0.930176, UpwardPlank
-0.363281, -0.126221, 0.927734, UpwardPlank
-0.365234, -0.107605, 0.931152, UpwardPlank
-0.367676, -0.0964355, 0.931641, UpwardPlank
-0.359863, -0.10498, 0.935547, UpwardPlank
-0.35498, -0.112427, 0.935059, UpwardPlank
-0.352783, -0.107483, 0.935547, UpwardPlank
-0.350342, -0.116272, 0.936523, UpwardPlank
-0.350586, -0.113464, 0.936035, UpwardPlank
-0.348145, -0.10614, 0.936035, UpwardPlank
-0.353271, -0.0916138, 0.935547, UpwardPlank
-0.341797, -0.110107, 0.939453, UpwardPlank
-0.338867, -0.128418, 0.9375, UpwardPlank
-0.337158, -0.120483, 0.938477, UpwardPlank
-0.334473, -0.122925, 0.938477, UpwardPlank
-0.333252, -0.133911, 0.938477, UpwardPlank
-0.334717, -0.123169, 0.9375, UpwardPlank
-0.335938, -0.112671, 0.938965, UpwardPlank
-0.338623, -0.112732, 0.937988, UpwardPlank
-0.338379, -0.11792, 0.936523, UpwardPlank
-0.334473, -0.120483, 0.938965, UpwardPlank
-0.330566, -0.134399, 0.938965, UpwardPlank
-0.327393, -0.126221, 0.939453, UpwardPlank
-0.324707, -0.127808, 0.937988, UpwardPlank
-0.321777, -0.132813, 0.939453, UpwardPlank
-0.320801, -0.118652, 0.941406, UpwardPlank
-0.320557, -0.119812, 0.941406, UpwardPlank
-0.316895, -0.119507, 0.941895, UpwardPlank
-0.321045, -0.109863, 0.941895, UpwardPlank
-0.320557, -0.11499, 0.941406, UpwardPlank
-0.314453, -0.11731, 0.943848, UpwardPlank
